chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu
0,1,1,0,1,0,0,139,0,1,0.0424680170377635,0.0424680170377635,0.00174559604567893,1,0,0
0,1,1,0,1,0,0,139,0,1,0.0242618685924445,0.0242618685924445,-0.00983485449716982,2,0,0
1,0,0,1,0,0,0,139,1,1,-0.0101676855550545,0.0101676855550545,-0.048007665319561,3,0,0
0,1,0,1,1,1,1,139,1,1,-0.0105244130401685,0.0105244130401685,-0.0220299253017543,4,0,0
0,1,1,0,1,0,0,139,0,1,0.00224885964851848,0.00224885964851848,0.0737922863210251,5,0,0
0,1,1,0,1,0,0,139,0,1,0.00510002289688752,0.00510002289688752,-0.0610355465523181,6,0,0
1,0,1,0,0,1,1,139,0,1,0.0664119915477035,0.0664119915477035,0.0678790851324296,7,0,0
1,0,1,0,0,1,1,139,0,1,0.084667128310454,0.084667128310454,-0.0250019326520268,8,0,0
1,0,0,1,0,0,0,139,1,1,-0.00302749227204252,0.00302749227204252,-0.0659424447635726,9,0,0
0,1,0,1,1,1,1,139,1,1,-0.0893294783393585,0.0893294783393585,0.0465302248962425,10,0,0
1,0,1,0,0,1,1,139,0,1,0.0291135225520775,0.0291135225520775,0.000306732191276027,11,0,0
0,1,0,1,1,1,1,139,1,1,-0.0712856293224295,0.0712856293224295,-0.0678680134186504,12,0,0
1,0,1,0,0,1,1,139,0,1,0.0463569219066925,0.0463569219066925,0.0143459459835329,13,0,0
1,0,0,1,0,0,0,139,1,1,-0.00177777091217651,0.00177777091217651,0.026251162912192,14,0,0
0,1,0,1,1,1,1,139,1,1,-0.0849563161206195,0.0849563161206195,0.0261446748927659,15,0,0
0,1,0,1,1,1,1,139,1,1,-0.0330550615412825,0.0330550615412825,0.056094653880255,16,0,0
0,1,0,1,1,1,1,139,1,1,-0.0325776561404145,0.0325776561404145,0.0651410248494772,17,0,0
1,0,1,0,0,1,1,139,0,1,0.0874220591133115,0.0874220591133115,0.0176598569418548,18,0,0
1,0,1,0,0,1,1,139,0,1,0.0956002537120525,0.0956002537120525,0.0788137252113037,19,0,0
0,1,0,1,1,1,1,139,1,1,-0.0599509202891595,0.0599509202891595,0.011720336179012,20,0,0
0,1,0,1,1,1,1,139,1,1,-0.0358281229393675,0.0358281229393675,-0.0567783232384978,21,0,0
1,0,1,0,0,1,1,139,0,1,0.0503377706794735,0.0503377706794735,0.0316903937352261,22,0,0
1,0,0,1,0,0,0,139,1,1,-0.000817038423989475,0.000817038423989475,0.0662082248372938,23,0,0
1,0,1,0,0,1,1,139,0,1,0.0386931671863055,0.0386931671863055,0.0315774127474831,24,0,0
1,0,1,0,0,1,1,139,0,1,0.0478889571731435,0.0478889571731435,0.00336730337999006,25,0,0
0,1,1,0,1,0,0,139,0,2,0.072796084241355,0.072796084241355,-0.0294249090085396,1,0,0
1,0,1,0,0,1,1,139,0,2,0.0567388883452535,0.0567388883452535,0.0316313306050269,2,0,0
0,1,0,1,1,1,1,139,1,2,-0.0978168346662485,0.0978168346662485,-0.0490292911673843,3,0,0
1,0,1,0,0,1,1,139,0,2,0.0451578844011735,0.0451578844011735,0.054494145907048,4,0,0
0,1,0,1,1,1,1,139,1,2,-0.048428404981377,0.048428404981377,0.045613118401134,5,0,0
0,1,0,1,1,1,1,139,1,2,-0.0562575626936115,0.0562575626936115,-0.0481732389516659,6,0,0
0,1,0,1,1,1,1,139,1,2,-0.0999814042845825,0.0999814042845825,-0.010547964911956,7,0,0
1,0,1,0,0,1,1,139,0,2,0.050589155333916,0.050589155333916,0.0260872588415713,8,0,0
1,0,1,0,0,1,1,139,0,2,0.0825124779114195,0.0825124779114195,0.00989166973177888,9,0,0
1,0,1,0,0,1,1,139,0,2,0.0157595095634785,0.0157595095634785,-0.0655319584494278,10,0,0
0,1,0,1,1,1,1,139,1,2,-0.0674737613576565,0.0674737613576565,-0.06601253414078,11,0,0
0,1,0,1,1,1,1,139,1,2,-0.00535951213170652,0.00535951213170652,0.0206541026955793,12,0,0
0,1,0,1,1,1,1,139,1,2,-0.0423483348180105,0.0423483348180105,-0.0118298681166937,13,0,0
1,0,1,0,0,1,1,139,0,2,0.0613904117129875,0.0613904117129875,0.00961758345544596,14,0,0
0,1,0,1,1,1,1,139,1,2,-0.0399822641579765,0.0399822641579765,0.0407835604170437,15,0,0
1,0,1,0,0,1,1,139,0,2,0.0885467159620155,0.0885467159620155,0.059099661796478,16,0,0
0,1,0,1,1,1,1,139,1,2,-0.0233582407594355,0.0233582407594355,-0.0423131161877611,17,0,0
1,0,0,1,0,0,0,139,1,2,-0.0014155762738805,0.0014155762738805,0.0675784669768246,18,0,0
0,1,0,1,1,1,1,139,1,2,-0.0713939375518975,0.0713939375518975,-0.043426583296866,19,0,0
1,0,1,0,0,1,1,139,0,2,0.0746934027984685,0.0746934027984685,0.0703599105251393,20,0,0
