chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,categoricalCondiff,trial,q_reward,mu
0,1,0,1,1,1,1,1,1,2,0.0473684210526316,0.0473684210526316,0.0220941952804831,1,24,0,0
1,0,1,0,0,1,1,1,0,2,-0.00526315789473684,0.00526315789473684,-0.0363744113568357,-1,25,0,0
1,0,0,1,0,0,0,1,1,3,0.0789473684210526,0.0789473684210526,0.075783163720028,1,1,0,0
1,0,1,0,0,1,1,1,0,3,-0.0894736842105263,0.0894736842105263,0.073081569318292,-1,2,0,0
0,1,0,1,1,1,1,1,1,3,0.0157894736842105,0.0157894736842105,-0.0434485901763907,1,3,0,0
1,0,1,0,0,1,1,1,0,3,-0.0894736842105263,0.0894736842105263,-0.0629597426849198,-1,4,0,0
1,0,1,0,0,1,1,1,0,3,-0.0368421052631579,0.0368421052631579,0.0565174345316788,-1,5,0,0
1,0,1,0,0,1,1,1,0,3,-0.1,0.1,-0.0640775800977891,-1,6,0,0
1,0,1,0,0,1,1,1,0,3,-0.0789473684210526,0.0789473684210526,0.0601203457219895,-1,7,0,0
0,1,0,1,1,1,1,1,1,3,0.068421052631579,0.068421052631579,0.0322714590787059,1,8,0,0
0,1,1,0,1,0,0,1,0,3,-0.0157894736842105,0.0157894736842105,0.0230704878257598,-1,9,0,0
1,0,1,0,0,1,1,1,0,3,-0.0157894736842105,0.0157894736842105,-0.00512726346675897,-1,10,0,0
1,0,0,1,0,0,0,1,1,3,0.0157894736842105,0.0157894736842105,0.0577966686178365,1,11,0,0
0,1,1,0,1,0,0,1,0,3,-0.0368421052631579,0.0368421052631579,0.0178535634461326,-1,12,0,0
1,0,1,0,0,1,1,1,0,3,-0.0473684210526316,0.0473684210526316,0.0713559687307926,-1,13,0,0
1,0,1,0,0,1,1,1,0,3,-0.068421052631579,0.068421052631579,0.0471472486471648,-1,14,0,0
0,1,0,1,1,1,1,1,1,3,0.068421052631579,0.068421052631579,-0.0115950231224607,1,15,0,0
0,1,1,0,1,0,0,1,0,3,-0.0157894736842105,0.0157894736842105,-0.048380240060602,-1,16,0,0
1,0,1,0,0,1,1,1,0,3,-0.0473684210526316,0.0473684210526316,-0.0474127078195009,-1,17,0,0
1,0,1,0,0,1,1,1,0,3,-0.0789473684210526,0.0789473684210526,0.0177669789401682,-1,18,0,0
1,0,1,0,0,1,1,1,0,3,-0.0578947368421053,0.0578947368421053,0.0663212099511496,-1,19,0,0
1,0,0,1,0,0,0,1,1,3,0.0157894736842105,0.0157894736842105,0.0093106065696561,1,20,0,0
1,0,1,0,0,1,1,1,0,3,-0.0894736842105263,0.0894736842105263,0.0213343831381994,-1,21,0,0
1,0,1,0,0,1,1,1,0,3,-0.0578947368421053,0.0578947368421053,-0.0248719115451652,-1,22,0,0
0,1,0,1,1,1,1,1,1,3,0.0473684210526316,0.0473684210526316,-0.0618923329876282,1,23,0,0
1,0,1,0,0,1,1,1,0,3,-0.0263157894736842,0.0263157894736842,0.0351281801224927,-1,24,0,0
1,0,1,0,0,1,1,1,0,3,-0.0368421052631579,0.0368421052631579,-0.0622176978024236,-1,25,0,0
1,0,0,1,0,0,0,1,1,4,0.068421052631579,0.068421052631579,0.0731083955006537,1,1,0,0
0,1,0,1,1,1,1,1,1,4,0.0894736842105263,0.0894736842105263,-0.0216123481088965,1,2,0,0
0,1,0,1,1,1,1,1,1,4,0.0894736842105263,0.0894736842105263,0.0390143644504446,1,3,0,0
1,0,1,0,0,1,1,1,0,4,-0.0789473684210526,0.0789473684210526,0.052291652329995,-1,4,0,0
