chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,chose_low,chose_high,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu,newChose_left,newChose_right
0,1,0,1,1,1,1,139,0,1,1,2,-0.0713939375518975,0.0713939375518975,0.00605410612410243,19,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,2,0.0746934027984685,0.0746934027984685,-0.0158151868375008,20,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,2,0.0183610396928005,0.0183610396928005,-0.00417723903977033,21,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,2,0.0369425989056235,0.0369425989056235,-0.069390763979791,22,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,2,0.0725181672820535,0.0725181672820535,-0.0432403523475209,23,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,2,0.0774880219460655,0.0774880219460655,-0.029063950362927,24,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,2,-0.079212623814896,0.079212623814896,0.0172563118327114,25,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,3,-0.368179398070861,0.368179398070861,0.00571711905653544,1,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,3,-0.431490994673568,0.431490994673568,0.0376281436233226,2,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,3,0.406826465550381,0.406826465550381,-0.0324729969268638,3,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,3,-0.418297947235285,0.418297947235285,0.0642024571283076,4,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,3,0.421792596187167,0.421792596187167,0.060649505178502,5,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,3,0.417793503935703,0.417793503935703,0.00714441206715791,6,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,3,0.37639133156245,0.37639133156245,0.0454599451641883,7,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,3,0.386739500614768,0.386739500614768,0.0330034820544256,8,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,3,-0.409401828310331,0.409401828310331,0.0572616627962087,9,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,3,-0.411322732508341,0.411322732508341,-0.0350784620893148,10,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,3,-0.378256181348595,0.378256181348595,-0.0327150724691479,11,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,3,-0.350173304535416,0.350173304535416,0.066574111302039,12,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,3,0.437381417657529,0.437381417657529,0.0508772543235168,13,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,3,0.43211516076895,0.43211516076895,-0.0106069603664993,14,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,3,-0.42911007138921,0.42911007138921,-0.0752704759110577,15,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,3,0.410099357300774,0.410099357300774,-0.0658493155168822,16,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,3,-0.385241806069209,0.385241806069209,-0.0521962996368689,17,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,3,-0.383267598283241,0.383267598283241,0.0649026764624344,18,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,3,0.417697318008194,0.417697318008194,-0.0759301565534597,19,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,3,0.449874806041465,0.449874806041465,-0.0165192961627821,20,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,3,0.35967196571316,0.35967196571316,-0.0765009107690827,21,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,3,-0.413102796994657,0.413102796994657,-0.0725823909346091,22,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,3,-0.440016849375251,0.440016849375251,-0.0433136986698707,23,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,3,-0.3940304781917,0.3940304781917,0.0282990053019091,24,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,3,0.388020055262532,0.388020055262532,0.0421152957002872,25,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,4,0.0875271270369445,0.0875271270369445,0.0450625043704275,1,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,4,-0.0673937125861985,0.0673937125861985,-0.071437237980896,2,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.0465351672974155,0.0465351672974155,-0.0694876224186471,3,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,4,0.0739558387063325,0.0739558387063325,-0.0166480703535626,4,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,4,0.0665710042613065,0.0665710042613065,0.0237656864447304,5,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,4,-0.0570048419029495,0.0570048419029495,-0.0681802488183663,6,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,4,0.00374705558306099,0.00374705558306099,-0.00901259803054638,7,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,4,0.00924982354829348,0.00924982354829348,0.0271246507599378,8,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,4,0.0239493028939645,0.0239493028939645,-0.0404396842940868,9,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,4,0.0491131465576955,0.0491131465576955,0.0464250612497952,10,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,4,-0.0266673924723805,0.0266673924723805,-0.0536095661964821,11,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.086634637219146,0.086634637219146,0.0796913350613708,12,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,4,-0.0557811986307275,0.0557811986307275,0.0175492189671994,13,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.0464335101588685,0.0464335101588685,0.0206238368722421,14,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,4,-0.023506769735735,0.023506769735735,-0.00264398216647019,15,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.00436203786400552,0.00436203786400552,0.0134684532559252,16,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,4,0.0619135339497785,0.0619135339497785,0.0523643695185897,17,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,4,0.0190623683109945,0.0190623683109945,0.0221726231702923,18,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,4,0.0929946810304895,0.0929946810304895,0.00250986749132501,19,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,4,0.0408065284913055,0.0408065284913055,-0.0202737666029614,20,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,4,0.0159035525664475,0.0159035525664475,-0.010360165223233,21,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.0827803918703805,0.0827803918703805,0.0227407953433273,22,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.092911123180555,0.092911123180555,0.00490366197162206,23,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,4,-0.077941882317677,0.077941882317677,-0.0431200167551935,24,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,4,0.050748428162367,0.050748428162367,-0.0576608079251152,25,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.00147919076512351,0.00147919076512351,0.0216379691086735,1,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,5,-0.0488601237006475,0.0488601237006475,-0.0589252379253363,2,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,5,0.0159502188690585,0.0159502188690585,-0.0163269672696403,3,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.0387469623731285,0.0387469623731285,0.0265199425581177,4,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.0442023105238495,0.0442023105238495,-0.0268124199109105,5,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,5,0.069822351589081,0.069822351589081,-0.0539463688477702,6,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,5,-0.0895595174830215,0.0895595174830215,-0.0407494899786133,7,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.0152371949991095,0.0152371949991095,-0.0217252237402371,8,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,5,0.0445611320595315,0.0445611320595315,-0.0309822581914872,9,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,5,-0.0453277095635835,0.0453277095635835,-0.0723664828207961,10,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,5,0.0932878862696785,0.0932878862696785,0.0466471112142876,11,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,5,0.0326414133729465,0.0326414133729465,0.0175439019197437,12,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,5,-0.0563066384514105,0.0563066384514105,-0.00352295398381682,13,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,5,0.0018695380822745,0.0018695380822745,-0.0234295024140984,14,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,5,-0.0788543538565255,0.0788543538565255,0.0143093084354411,15,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,5,0.0124794384976935,0.0124794384976935,0.00641842660324135,16,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.0808764922832155,0.0808764922832155,-0.0385937616964207,17,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,5,0.0346649464089505,0.0346649464089505,0.0279527492666671,18,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,5,0.00241169251503251,0.00241169251503251,0.0366753258503344,19,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,5,0.0498214737093215,0.0498214737093215,0.0749164277809125,20,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,5,0.0535516612552155,0.0535516612552155,0.045740787897738,21,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,5,0.0216839449449935,0.0216839449449935,0.0199837069150921,22,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,5,-0.0687677429464705,0.0687677429464705,-0.0125657353448498,23,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,5,-0.0989056649276735,0.0989056649276735,-0.0566120352333003,24,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,5,-0.0611581225201265,0.0611581225201265,0.0396356441451996,25,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,6,0.396535660001832,0.396535660001832,-0.0586216663850018,1,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,6,-0.372218712285721,0.372218712285721,-0.0266488919969992,2,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,6,-0.443341736439295,0.443341736439295,0.0275711667248917,3,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,6,0.413665872295912,0.413665872295912,0.0215358104794606,4,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,6,-0.412369694391483,0.412369694391483,-0.0540170205692432,5,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,6,-0.428349197387429,0.428349197387429,0.0529473589623688,6,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,6,-0.439377328192867,0.439377328192867,0.0680918746483052,7,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,6,0.399335853106475,0.399335853106475,0.0577111283352956,8,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,6,-0.427064569303941,0.427064569303941,0.00705880617392061,9,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,6,0.447608438667159,0.447608438667159,-0.0678704135884465,10,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,6,-0.386355998082723,0.386355998082723,-0.0691919685316188,11,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,6,0.357120255064985,0.357120255064985,-0.00193944072991119,12,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,6,0.430848270570106,0.430848270570106,-0.0663893264877177,13,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,6,0.350577531648924,0.350577531648924,0.076006540745799,14,0,0,1,0
1,0,1,0,0,1,1,139,0,1,0,6,0.402473429303494,0.402473429303494,0.0704324628629862,15,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,6,-0.444824820288095,0.444824820288095,-0.0114253352002665,16,0,0,1,0
