chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
1,0,1,0,139,0.5,0.5,3,0.417697318008194,0.417697318008194,19
1,0,1,0,139,0.59,0.59,3,0.449874806041465,0.449874806041465,20
1,0,1,0,139,0.42,0.58,3,0.35967196571316,0.35967196571316,21
0,1,1,0,139,0.57,0.57,3,-0.413102796994657,0.413102796994657,22
0,1,1,0,139,0.59,0.59,3,-0.440016849375251,0.440016849375251,23
0,1,1,0,139,0.61,0.61,3,-0.3940304781917,0.3940304781917,24
1,0,1,0,139,0.4,0.6,3,0.388020055262532,0.388020055262532,25
1,0,1,0,139,0.5,0.5,4,0.0875271270369445,0.0875271270369445,1
0,1,0,1,139,0.5,0.5,4,-0.0673937125861985,0.0673937125861985,2
0,1,1,0,139,0.54,0.54,4,-0.0465351672974155,0.0465351672974155,3
1,0,1,0,139,0.52,0.52,4,0.0739558387063325,0.0739558387063325,4
1,0,1,0,139,0.57,0.57,4,0.0665710042613065,0.0665710042613065,5
0,1,0,1,139,0.5,0.5,4,-0.0570048419029495,0.0570048419029495,6
0,1,1,0,139,0.5,0.5,4,0.00374705558306099,0.00374705558306099,7
1,0,1,0,139,0.5,0.5,4,0.00924982354829348,0.00924982354829348,8
1,0,1,0,139,0.5,0.5,4,0.0239493028939645,0.0239493028939645,9
1,0,1,0,139,0.5,0.5,4,0.0491131465576955,0.0491131465576955,10
0,1,1,0,139,0.5,0.5,4,-0.0266673924723805,0.0266673924723805,11
0,1,1,0,139,0.54,0.54,4,-0.086634637219146,0.086634637219146,12
0,1,0,1,139,0.5,0.5,4,-0.0557811986307275,0.0557811986307275,13
0,1,1,0,139,0.53,0.53,4,-0.0464335101588685,0.0464335101588685,14
0,1,0,1,139,0.5,0.5,4,-0.023506769735735,0.023506769735735,15
0,1,1,0,139,0.5,0.5,4,-0.00436203786400552,0.00436203786400552,16
1,0,1,0,139,0.5,0.5,4,0.0619135339497785,0.0619135339497785,17
1,0,1,0,139,0.5,0.5,4,0.0190623683109945,0.0190623683109945,18
1,0,1,0,139,0.5,0.5,4,0.0929946810304895,0.0929946810304895,19
1,0,1,0,139,0.5,0.5,4,0.0408065284913055,0.0408065284913055,20
0,1,0,1,139,0.5,0.5,4,0.0159035525664475,0.0159035525664475,21
0,1,1,0,139,0.5,0.5,4,-0.0827803918703805,0.0827803918703805,22
0,1,1,0,139,0.5,0.5,4,-0.092911123180555,0.092911123180555,23
0,1,1,0,139,0.5,0.5,4,-0.077941882317677,0.077941882317677,24
1,0,1,0,139,0.5,0.5,4,0.050748428162367,0.050748428162367,25
1,0,1,0,139,0.5,0.5,5,-0.00147919076512351,0.00147919076512351,1
0,1,0,1,139,0.5,0.5,5,-0.0488601237006475,0.0488601237006475,2
1,0,1,0,139,0.5,0.5,5,0.0159502188690585,0.0159502188690585,3
1,0,1,0,139,0.55,0.55,5,-0.0387469623731285,0.0387469623731285,4
1,0,1,0,139,0.55,0.55,5,-0.0442023105238495,0.0442023105238495,5
0,1,1,0,139,0.57,0.57,5,0.069822351589081,0.069822351589081,6
1,0,1,0,139,0.57,0.57,5,-0.0895595174830215,0.0895595174830215,7
1,0,1,0,139,0.67,0.67,5,-0.0152371949991095,0.0152371949991095,8
0,1,1,0,139,0.69,0.69,5,0.0445611320595315,0.0445611320595315,9
1,0,1,0,139,0.69,0.69,5,-0.0453277095635835,0.0453277095635835,10
0,1,1,0,139,0.73,0.73,5,0.0932878862696785,0.0932878862696785,11
0,1,1,0,139,0.78,0.78,5,0.0326414133729465,0.0326414133729465,12
1,0,1,0,139,0.81,0.81,5,-0.0563066384514105,0.0563066384514105,13
0,1,1,0,139,0.88,0.88,5,0.0018695380822745,0.0018695380822745,14
1,0,1,0,139,0.92,0.92,5,-0.0788543538565255,0.0788543538565255,15
1,0,1,0,139,0.89,0.89,5,0.0124794384976935,0.0124794384976935,16
1,0,1,0,139,0.91,0.91,5,-0.0808764922832155,0.0808764922832155,17
0,1,1,0,139,0.9,0.9,5,0.0346649464089505,0.0346649464089505,18
0,1,1,0,139,0.92,0.92,5,0.00241169251503251,0.00241169251503251,19
0,1,1,0,139,0.92,0.92,5,0.0498214737093215,0.0498214737093215,20
0,1,1,0,139,0.92,0.92,5,0.0535516612552155,0.0535516612552155,21
0,1,1,0,139,0.93,0.93,5,0.0216839449449935,0.0216839449449935,22
1,0,1,0,139,0.93,0.93,5,-0.0687677429464705,0.0687677429464705,23
1,0,1,0,139,0.95,0.95,5,-0.0989056649276735,0.0989056649276735,24
1,0,1,0,139,0.07,0.93,5,-0.0611581225201265,0.0611581225201265,25
0,1,0,1,139,0.5,0.5,6,0.396535660001832,0.396535660001832,1
0,1,0,1,139,0.5,0.5,6,-0.372218712285721,0.372218712285721,2
1,0,1,0,139,0.5,0.5,6,-0.443341736439295,0.443341736439295,3
1,0,1,0,139,0.5,0.5,6,0.413665872295912,0.413665872295912,4
0,1,0,1,139,0.5,0.5,6,-0.412369694391483,0.412369694391483,5
0,1,1,0,139,0.5,0.5,6,-0.428349197387429,0.428349197387429,6
0,1,1,0,139,0.56,0.56,6,-0.439377328192867,0.439377328192867,7
1,0,1,0,139,0.5,0.5,6,0.399335853106475,0.399335853106475,8
0,1,0,1,139,0.5,0.5,6,-0.427064569303941,0.427064569303941,9
1,0,1,0,139,0.5,0.5,6,0.447608438667159,0.447608438667159,10
1,0,1,0,139,0.5,0.5,6,-0.386355998082723,0.386355998082723,11
1,0,1,0,139,0.5,0.5,6,0.357120255064985,0.357120255064985,12
1,0,1,0,139,0.5,0.5,6,0.430848270570106,0.430848270570106,13
1,0,1,0,139,0.5,0.5,6,0.350577531648924,0.350577531648924,14
1,0,1,0,139,0.5,0.5,6,0.402473429303494,0.402473429303494,15
1,0,1,0,139,0.5,0.5,6,-0.444824820288095,0.444824820288095,16
1,0,1,0,139,0.38,0.38,6,0.427876058789838,0.427876058789838,17
1,0,1,0,139,0.5,0.5,6,0.370895373780304,0.370895373780304,18
1,0,1,0,139,0.5,0.5,6,-0.396156507918295,0.396156507918295,19
1,0,1,0,139,0.5,0.5,6,-0.386930239552391,0.386930239552391,20
0,1,1,0,139,0.55,0.55,6,-0.364561752456948,0.364561752456948,21
1,0,1,0,139,0.5,0.5,6,0.358187239580731,0.358187239580731,22
0,1,1,0,139,0.5,0.5,6,-0.438494744001733,0.438494744001733,23
1,0,1,0,139,0.55,0.55,6,0.367605592523528,0.367605592523528,24
1,0,1,0,139,0.45,0.55,6,0.431571011826075,0.431571011826075,25
1,0,1,0,139,0.5,0.5,7,-0.0619791077936035,0.0619791077936035,1
0,1,0,1,139,0.5,0.5,7,0.0109811893620775,0.0109811893620775,2
0,1,1,0,139,0.56,0.56,7,0.0844514208605385,0.0844514208605385,3
0,1,1,0,139,0.58,0.58,7,0.0884965078552515,0.0884965078552515,4
0,1,1,0,139,0.58,0.58,7,0.0243046971598715,0.0243046971598715,5
0,1,0,1,139,0.42,0.58,7,0.0850835325846615,0.0850835325846615,6
1,0,1,0,139,0.62,0.62,7,-0.0787451288892155,0.0787451288892155,7
0,1,1,0,139,0.65,0.65,7,0.050470047376749,0.050470047376749,8
1,0,1,0,139,0.38,0.62,7,-0.0287812828529875,0.0287812828529875,9
1,0,1,0,139,0.65,0.65,7,-0.0183337223502815,0.0183337223502815,10
0,1,0,1,139,0.39,0.61,7,0.0808163483457685,0.0808163483457685,11
1,0,1,0,139,0.5,0.5,7,-0.0934520237525665,0.0934520237525665,12
0,1,0,1,139,0.5,0.5,7,-0.0494344838145665,0.0494344838145665,13
0,1,1,0,139,0.58,0.58,7,0.0699874555899665,0.0699874555899665,14
1,0,1,0,139,0.64,0.64,7,-0.0577056244891615,0.0577056244891615,15
1,0,1,0,139,0.63,0.63,7,-0.0778208267096885,0.0778208267096885,16
1,0,1,0,139,0.7,0.7,7,-0.0670788883802105,0.0670788883802105,17
1,0,1,0,139,0.37,0.63,7,-0.0493822225797755,0.0493822225797755,18
1,0,1,0,139,0.65,0.65,7,-0.050722042659376,0.050722042659376,19
0,1,1,0,139,0.66,0.66,7,0.0885988368365915,0.0885988368365915,20
1,0,1,0,139,0.35,0.65,7,-0.0580963615467515,0.0580963615467515,21
0,1,1,0,139,0.67,0.67,7,0.0104701349206405,0.0104701349206405,22
0,1,1,0,139,0.67,0.67,7,0.0234580791331655,0.0234580791331655,23
0,1,0,1,139,0.33,0.67,7,0.00996322472049752,0.00996322472049752,24
0,1,0,1,139,0.32,0.68,7,0.0492828801294175,0.0492828801294175,25
0,1,1,0,139,0.5,0.5,8,-0.356825027649631,0.356825027649631,1
0,1,0,1,139,0.5,0.5,8,-0.391748725122103,0.391748725122103,2
0,1,1,0,139,0.5,0.5,8,0.413109857129412,0.413109857129412,3
1,0,1,0,139,0.5,0.5,8,-0.366464104927426,0.366464104927426,4
0,1,0,1,139,0.5,0.5,8,0.38681968646554,0.38681968646554,5
0,1,0,1,139,0.5,0.5,8,-0.393278430650121,0.393278430650121,6
1,0,1,0,139,0.57,0.57,8,0.386791689011535,0.386791689011535,7
0,1,1,0,139,0.5,0.5,8,0.403265801410975,0.403265801410975,8
0,1,0,1,139,0.5,0.5,8,0.394457085790878,0.394457085790878,9
1,0,1,0,139,0.5,0.5,8,0.387471886281636,0.387471886281636,10
0,1,0,1,139,0.5,0.5,8,-0.358691623452391,0.358691623452391,11
1,0,1,0,139,0.5,0.5,8,-0.389161429650771,0.389161429650771,12
0,1,0,1,139,0.5,0.5,8,0.388808167788667,0.388808167788667,13
