chose_left,chose_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial,reward
0.0,1.0,139,0.5,0.5,3,0.6574750183038587,0.437381417657529,13,1.0
1.0,0.0,139,0.5,0.5,3,-0.2864933466128214,0.43211516076895,14,1.0
0.0,1.0,139,0.5,0.5,3,-0.4381309806252385,0.42911007138921,15,1.0
1.0,0.0,139,0.5,0.5,3,0.0853921663164969,0.410099357300774,16,1.0
0.0,1.0,139,0.56,0.56,3,-0.7181515500504747,0.385241806069209,17,0.0
0.0,1.0,139,0.6,0.6,3,0.6043939615080793,0.383267598283241,18,0.0
1.0,0.0,139,0.5,0.5,3,-0.8508987126404584,0.417697318008194,19,1.0
1.0,0.0,139,0.59,0.59,3,0.9737738732010346,0.449874806041465,20,1.0
1.0,0.0,139,0.42,0.58,3,0.5444895385933148,0.35967196571316,21,1.0
0.0,1.0,139,0.57,0.57,3,-0.6025686369316552,0.413102796994657,22,0.0
0.0,1.0,139,0.59,0.59,3,-0.9889557657527952,0.440016849375251,23,0.0
0.0,1.0,139,0.61,0.61,3,0.6309228569096683,0.3940304781917,24,0.0
1.0,0.0,139,0.4,0.6,3,0.4137146876952342,0.388020055262532,25,1.0
1.0,0.0,139,0.5,0.5,4,0.4580143360819746,0.0875271270369445,1,1.0
0.0,1.0,139,0.5,0.5,4,0.5425406933718915,0.0673937125861985,2,1.0
0.0,1.0,139,0.54,0.54,4,-0.8519106965318193,0.0465351672974155,3,0.0
1.0,0.0,139,0.52,0.52,4,-0.2830685429114548,0.0739558387063325,4,1.0
1.0,0.0,139,0.57,0.57,4,-0.7682618809497406,0.0665710042613065,5,1.0
0.0,1.0,139,0.5,0.5,4,0.726206851751187,0.0570048419029495,6,1.0
0.0,1.0,139,0.5,0.5,4,0.2465962536551158,0.0037470555830609,7,0.0
1.0,0.0,139,0.5,0.5,4,-0.3382039502947016,0.0092498235482934,8,1.0
1.0,0.0,139,0.5,0.5,4,-0.8728832994279527,0.0239493028939645,9,1.0
1.0,0.0,139,0.5,0.5,4,-0.3780353565686756,0.0491131465576955,10,1.0
0.0,1.0,139,0.5,0.5,4,-0.3496333559465059,0.0266673924723805,11,0.0
0.0,1.0,139,0.54,0.54,4,0.4592123566761281,0.086634637219146,12,0.0
0.0,1.0,139,0.5,0.5,4,0.2751149427104262,0.0557811986307275,13,1.0
0.0,1.0,139,0.53,0.53,4,0.7744254851526531,0.0464335101588685,14,0.0
0.0,1.0,139,0.5,0.5,4,-0.0555701496761014,0.023506769735735,15,1.0
0.0,1.0,139,0.5,0.5,4,-0.7608115081233966,0.0043620378640055,16,0.0
1.0,0.0,139,0.5,0.5,4,0.42648957444599,0.0619135339497785,17,1.0
1.0,0.0,139,0.5,0.5,4,0.5215700972337949,0.0190623683109945,18,1.0
1.0,0.0,139,0.5,0.5,4,0.1225543951389924,0.0929946810304895,19,1.0
1.0,0.0,139,0.5,0.5,4,0.541934359909122,0.0408065284913055,20,1.0
0.0,1.0,139,0.5,0.5,4,-0.0124088072712185,0.0159035525664475,21,1.0
0.0,1.0,139,0.5,0.5,4,0.0454656587639881,0.0827803918703805,22,0.0
0.0,1.0,139,0.5,0.5,4,-0.1449179632829007,0.092911123180555,23,0.0
0.0,1.0,139,0.5,0.5,4,-0.9491617465118096,0.077941882317677,24,0.0
1.0,0.0,139,0.5,0.5,4,-0.7842171460133911,0.050748428162367,25,1.0
1.0,0.0,139,0.5,0.5,5,-0.9371416286265316,0.0014791907651235,1,1.0
0.0,1.0,139,0.5,0.5,5,0.2728208225275608,0.0488601237006475,2,1.0
1.0,0.0,139,0.5,0.5,5,-0.3712880378473466,0.0159502188690585,3,1.0
1.0,0.0,139,0.55,0.55,5,0.0171413823294055,0.0387469623731285,4,1.0
1.0,0.0,139,0.55,0.55,5,0.815132947852186,0.0442023105238495,5,1.0
0.0,1.0,139,0.57,0.57,5,-0.5014155417022501,0.069822351589081,6,0.0
1.0,0.0,139,0.57,0.57,5,-0.1792341539287405,0.0895595174830215,7,1.0
1.0,0.0,139,0.67,0.67,5,0.5111022770860973,0.0152371949991095,8,1.0
0.0,1.0,139,0.69,0.69,5,-0.5424036690167551,0.0445611320595315,9,0.0
1.0,0.0,139,0.69,0.69,5,-0.846040180342414,0.0453277095635835,10,1.0
0.0,1.0,139,0.73,0.73,5,-0.4204970941724639,0.0932878862696785,11,0.0
0.0,1.0,139,0.78,0.78,5,-0.6775574254919912,0.0326414133729465,12,0.0
1.0,0.0,139,0.81,0.81,5,0.8593953046851461,0.0563066384514105,13,1.0
0.0,1.0,139,0.88,0.88,5,0.6162407591288339,0.0018695380822745,14,0.0
1.0,0.0,139,0.92,0.92,5,0.2668075130208469,0.0788543538565255,15,1.0
1.0,0.0,139,0.89,0.89,5,0.7429211803754354,0.0124794384976935,16,1.0
1.0,0.0,139,0.91,0.91,5,0.6073441537982289,0.0808764922832155,17,1.0
0.0,1.0,139,0.9,0.9,5,-0.6268598822279283,0.0346649464089505,18,0.0
0.0,1.0,139,0.92,0.92,5,0.7851179969799555,0.0024116925150325,19,0.0
0.0,1.0,139,0.92,0.92,5,0.0786844838313014,0.0498214737093215,20,0.0
0.0,1.0,139,0.92,0.92,5,0.6148803103281251,0.0535516612552155,21,0.0
0.0,1.0,139,0.93,0.93,5,0.7921825998469865,0.0216839449449935,22,0.0
1.0,0.0,139,0.93,0.93,5,-0.3639930500562722,0.0687677429464705,23,1.0
1.0,0.0,139,0.95,0.95,5,-0.7798961509446465,0.0989056649276735,24,1.0
1.0,0.0,139,0.07,0.93,5,-0.5441296749161166,0.0611581225201265,25,1.0
0.0,1.0,139,0.5,0.5,6,-0.1457844227474873,0.396535660001832,1,1.0
0.0,1.0,139,0.5,0.5,6,0.6360295318449862,0.372218712285721,2,1.0
1.0,0.0,139,0.5,0.5,6,0.7214611665126869,0.443341736439295,3,1.0
1.0,0.0,139,0.5,0.5,6,-0.9860957389376186,0.413665872295912,4,1.0
0.0,1.0,139,0.5,0.5,6,0.0214946051551314,0.412369694391483,5,1.0
0.0,1.0,139,0.5,0.5,6,-0.165177993702442,0.428349197387429,6,0.0
0.0,1.0,139,0.56,0.56,6,-0.5557843790585395,0.439377328192867,7,0.0
1.0,0.0,139,0.5,0.5,6,-0.7602692653326344,0.399335853106475,8,1.0
0.0,1.0,139,0.5,0.5,6,-0.3247696571927441,0.427064569303941,9,1.0
1.0,0.0,139,0.5,0.5,6,0.8858194078250383,0.447608438667159,10,1.0
1.0,0.0,139,0.5,0.5,6,-0.3535941359584895,0.386355998082723,11,1.0
1.0,0.0,139,0.5,0.5,6,0.0375812434867321,0.357120255064985,12,1.0
1.0,0.0,139,0.5,0.5,6,0.4060379177903557,0.430848270570106,13,1.0
1.0,0.0,139,0.5,0.5,6,-0.272740795241412,0.350577531648924,14,1.0
1.0,0.0,139,0.5,0.5,6,0.9435641654419212,0.402473429303494,15,1.0
1.0,0.0,139,0.5,0.5,6,0.9248945898842224,0.444824820288095,16,1.0
1.0,0.0,139,0.38,0.38,6,-0.4964354083492717,0.427876058789838,17,1.0
1.0,0.0,139,0.5,0.5,6,-0.005502988215229,0.370895373780304,18,1.0
1.0,0.0,139,0.5,0.5,6,-0.3982433803664607,0.396156507918295,19,1.0
1.0,0.0,139,0.5,0.5,6,-0.4303190112450648,0.386930239552391,20,1.0
0.0,1.0,139,0.55,0.55,6,-0.9262261052909344,0.364561752456948,21,0.0
1.0,0.0,139,0.5,0.5,6,0.2191286679597937,0.358187239580731,22,1.0
0.0,1.0,139,0.5,0.5,6,0.0053580464577229,0.438494744001733,23,0.0
1.0,0.0,139,0.55,0.55,6,-0.8970424975000213,0.367605592523528,24,1.0
1.0,0.0,139,0.45,0.55,6,-0.4427070715267771,0.431571011826075,25,1.0
1.0,0.0,139,0.5,0.5,7,0.8165317719333074,0.0619791077936035,1,1.0
0.0,1.0,139,0.5,0.5,7,-0.5208762186660552,0.0109811893620775,2,1.0
0.0,1.0,139,0.56,0.56,7,-0.7102102558175538,0.0844514208605385,3,0.0
0.0,1.0,139,0.58,0.58,7,-0.0210944794448739,0.0884965078552515,4,0.0
0.0,1.0,139,0.58,0.58,7,0.9713009082212014,0.0243046971598715,5,0.0
