chose_left,chose_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial,reward
0.0,1.0,139,0.5,0.5,3,0.24980700419119972,0.437381417657529,13,1.0
1.0,0.0,139,0.5,0.5,3,0.34937810197564967,0.43211516076895,14,1.0
0.0,1.0,139,0.5,0.5,3,0.6846848752405146,0.42911007138921,15,1.0
1.0,0.0,139,0.5,0.5,3,-0.8336100233351225,0.410099357300774,16,1.0
0.0,1.0,139,0.56,0.56,3,0.5273656828866764,0.385241806069209,17,0.0
0.0,1.0,139,0.6,0.6,3,-0.512667250926252,0.383267598283241,18,0.0
1.0,0.0,139,0.5,0.5,3,-0.6115540788424583,0.417697318008194,19,1.0
1.0,0.0,139,0.59,0.59,3,0.14491391498294615,0.449874806041465,20,1.0
1.0,0.0,139,0.42,0.58,3,-0.8085749667752258,0.35967196571316,21,1.0
0.0,1.0,139,0.57,0.57,3,0.7706536525502792,0.413102796994657,22,0.0
0.0,1.0,139,0.59,0.59,3,0.25449794410253745,0.440016849375251,23,0.0
0.0,1.0,139,0.61,0.61,3,0.4468327163799095,0.3940304781917,24,0.0
1.0,0.0,139,0.4,0.6,3,-0.9677415866099663,0.388020055262532,25,1.0
1.0,0.0,139,0.5,0.5,4,0.188863758890085,0.0875271270369445,1,1.0
0.0,1.0,139,0.5,0.5,4,0.1135703847885774,0.0673937125861985,2,1.0
0.0,1.0,139,0.54,0.54,4,-0.6820807117105545,0.0465351672974155,3,0.0
1.0,0.0,139,0.52,0.52,4,-0.6938589697504538,0.0739558387063325,4,1.0
1.0,0.0,139,0.57,0.57,4,0.3910590575418218,0.0665710042613065,5,1.0
0.0,1.0,139,0.5,0.5,4,-0.3624671472362473,0.0570048419029495,6,1.0
0.0,1.0,139,0.5,0.5,4,0.3839405910636393,0.0037470555830609,7,0.0
1.0,0.0,139,0.5,0.5,4,0.10876649943554417,0.0092498235482934,8,1.0
1.0,0.0,139,0.5,0.5,4,-0.2220988517537108,0.0239493028939645,9,1.0
1.0,0.0,139,0.5,0.5,4,0.8502649792279722,0.0491131465576955,10,1.0
0.0,1.0,139,0.5,0.5,4,0.6833399938254325,0.0266673924723805,11,0.0
0.0,1.0,139,0.54,0.54,4,-0.2852048666336475,0.086634637219146,12,0.0
0.0,1.0,139,0.5,0.5,4,-0.9128170724019189,0.0557811986307275,13,1.0
0.0,1.0,139,0.53,0.53,4,-0.3904638531778051,0.0464335101588685,14,0.0
0.0,1.0,139,0.5,0.5,4,-0.20362863616403803,0.023506769735735,15,1.0
0.0,1.0,139,0.5,0.5,4,0.4099176609027244,0.0043620378640055,16,0.0
1.0,0.0,139,0.5,0.5,4,0.9907169640680349,0.0619135339497785,17,1.0
1.0,0.0,139,0.5,0.5,4,-0.2881702685650809,0.0190623683109945,18,1.0
1.0,0.0,139,0.5,0.5,4,0.5250956275708676,0.0929946810304895,19,1.0
1.0,0.0,139,0.5,0.5,4,0.18635383312444231,0.0408065284913055,20,1.0
0.0,1.0,139,0.5,0.5,4,0.38340359740035423,0.0159035525664475,21,1.0
0.0,1.0,139,0.5,0.5,4,-0.6977450953038395,0.0827803918703805,22,0.0
0.0,1.0,139,0.5,0.5,4,-0.2022474145476869,0.092911123180555,23,0.0
0.0,1.0,139,0.5,0.5,4,-0.518288204552751,0.077941882317677,24,0.0
1.0,0.0,139,0.5,0.5,4,-0.31308797190335014,0.050748428162367,25,1.0
1.0,0.0,139,0.5,0.5,5,0.026256308398004302,0.0014791907651235,1,1.0
0.0,1.0,139,0.5,0.5,5,0.33324910032814326,0.0488601237006475,2,1.0
1.0,0.0,139,0.5,0.5,5,-0.7881830298863723,0.0159502188690585,3,1.0
1.0,0.0,139,0.55,0.55,5,-0.7382100986718385,0.0387469623731285,4,1.0
1.0,0.0,139,0.55,0.55,5,-0.3560387870633839,0.0442023105238495,5,1.0
0.0,1.0,139,0.57,0.57,5,0.3231286733324874,0.069822351589081,6,0.0
1.0,0.0,139,0.57,0.57,5,0.6930124505414441,0.0895595174830215,7,1.0
1.0,0.0,139,0.67,0.67,5,0.1065146895934268,0.0152371949991095,8,1.0
0.0,1.0,139,0.69,0.69,5,0.7089049750490095,0.0445611320595315,9,0.0
1.0,0.0,139,0.69,0.69,5,-0.23032437744847778,0.0453277095635835,10,1.0
0.0,1.0,139,0.73,0.73,5,-0.36642420576324053,0.0932878862696785,11,0.0
0.0,1.0,139,0.78,0.78,5,-0.291470648816643,0.0326414133729465,12,0.0
1.0,0.0,139,0.81,0.81,5,-0.6578363415898019,0.0563066384514105,13,1.0
0.0,1.0,139,0.88,0.88,5,0.6582252690037809,0.0018695380822745,14,0.0
1.0,0.0,139,0.92,0.92,5,-0.3226583081713468,0.0788543538565255,15,1.0
1.0,0.0,139,0.89,0.89,5,0.10474015058814623,0.0124794384976935,16,1.0
1.0,0.0,139,0.91,0.91,5,0.1571029362176659,0.0808764922832155,17,1.0
0.0,1.0,139,0.9,0.9,5,0.0430661187946646,0.0346649464089505,18,0.0
0.0,1.0,139,0.92,0.92,5,-0.9946238708513586,0.0024116925150325,19,0.0
0.0,1.0,139,0.92,0.92,5,0.9766908385656401,0.0498214737093215,20,0.0
0.0,1.0,139,0.92,0.92,5,0.8106831513232198,0.0535516612552155,21,0.0
0.0,1.0,139,0.93,0.93,5,-0.584728277607351,0.0216839449449935,22,0.0
1.0,0.0,139,0.93,0.93,5,-0.4150211744151504,0.0687677429464705,23,1.0
1.0,0.0,139,0.95,0.95,5,0.04002030614496688,0.0989056649276735,24,1.0
1.0,0.0,139,0.07,0.93,5,0.8038227453213411,0.0611581225201265,25,1.0
0.0,1.0,139,0.5,0.5,6,0.9672617698234465,0.396535660001832,1,1.0
0.0,1.0,139,0.5,0.5,6,-0.4849158716918338,0.372218712285721,2,1.0
1.0,0.0,139,0.5,0.5,6,0.12871808584956335,0.443341736439295,3,1.0
1.0,0.0,139,0.5,0.5,6,0.6139373682743583,0.413665872295912,4,1.0
0.0,1.0,139,0.5,0.5,6,-0.2112598920944504,0.412369694391483,5,1.0
